Arc time (s)	Amperage (A)	Voltage (V)	Wire feed speed (in/min)	WeldScore (%)	Global scale factor	True Energy (J)
6/23/2025 11:17:21 AM
0.000	11.8	4.2	64	0.0	-0.2646	231
0.235	67.2	15.5	164	0.0	-0.2022	579
0.485	82.5	16.6	182	0.0	-0.1748	820
0.719	80.8	15.9	180	0.0	-0.2104	1070
0.953	79.7	15.6	177	0.0	-0.1631	1443
1.188	79.1	15.6	179	0.0	-0.1308	1685
1.422	79.4	15.4	178	0.0	-0.1902	1933
1.672	79.2	15.4	179	0.0	-0.1564	2306
1.906	79.8	15.5	179	0.0	-0.1414	2552
2.156	79.3	15.6	179	0.0	-0.1381	2925
2.406	79.9	15.8	178	0.0	-0.2070	3177
2.656	79.9	15.7	179	0.0	-0.2065	3550
2.922	78.7	15.4	178	0.0	-0.1360	3792
3.172	78.4	15.3	179	0.0	-0.1816	4161
3.391	78.7	15.4	179	0.0	-0.1345	4406
3.641	79.5	15.5	179	0.0	-0.1675	4778
3.891	79.6	15.5	179	0.0	-0.1274	5028
4.125	79.1	15.5	180	0.0	-0.1705	5270
4.360	79.0	15.6	179	0.0	-0.1125	5649
4.594	78.9	15.6	179	0.0	-0.1674	5892
4.828	78.7	15.5	176	0.0	-0.1621	6143
5.063	79.7	15.4	178	0.0	-0.1290	6520
5.297	79.8	15.4	179	0.0	-0.1419	6765
5.531	79.8	15.5	179	0.0	-0.1269	7019
5.766	80.1	15.4	178	0.0	-0.1331	7393
6.000	80.4	15.4	178	0.0	-0.0325	7641
6.235	80.5	15.4	180	0.0	-0.0651	8018
6.469	80.5	15.5	179	0.0	-0.0714	8277
6.703	80.3	15.4	179	0.0	-0.0297	8530
6.938	80.0	15.5	179	0.0	-0.1116	8781
7.188	79.0	15.6	179	0.0	-0.0988	9155
7.438	78.9	15.7	180	0.0	-0.1308	9528
7.672	78.9	15.4	179	0.0	-0.0991	9767
7.938	80.1	15.1	179	0.0	-0.0732	10025
8.172	80.7	15.3	179	0.0	-0.0273	10402
8.406	78.4	15.6	178	0.0	-0.0044	10651
8.656	76.8	15.7	177	0.0	-0.0366	11025
8.891	76.9	15.9	180	0.0	-0.0719	11277
9.141	77.2	15.8	179	0.0	-0.0421	11643
9.375	78.8	15.6	178	0.0	-0.0515	11900
9.610	79.3	15.6	178	0.0	-0.0700	12145
9.860	78.1	15.6	179	0.0	-0.0882	12514
10.094	76.4	15.6	179	0.0	-0.0967	12761
10.328	77.7	15.7	181	0.0	-0.0576	13010
10.563	77.7	15.9	179	0.0	-0.0569	13379
10.797	78.0	15.8	180	0.0	-0.1576	13636
11.047	78.7	15.6	180	0.0	-0.1383	14007
11.281	78.3	15.5	180	0.0	-0.1362	14255
11.516	77.8	15.6	179	0.0	-0.0938	14500
11.750	78.0	15.6	178	0.0	-0.1589	14877
11.985	77.7	15.6	179	0.0	-0.0804	15124
12.219	78.6	15.7	178	0.0	-0.1694	15374
12.453	78.4	15.8	179	0.0	-0.1744	15747
12.688	79.2	15.8	179	0.0	-0.1700	16000
12.922	78.4	15.8	179	0.0	-0.2141	16248
13.156	79.1	15.8	179	0.0	-0.2198	16627
13.406	79.1	15.8	179	0.0	-0.2279	16878
13.641	79.1	15.8	178	0.0	-0.2046	17254
13.875	78.5	15.7	179	0.0	-0.2080	17495
14.110	78.5	15.6	179	0.0	-0.2254	17743
14.344	78.2	15.5	180	0.0	-0.1973	18106
14.594	76.9	15.4	179	0.0	-0.2329	18347
14.828	77.7	15.6	178	0.0	-0.2326	18596
15.078	77.8	15.7	178	0.0	-0.1943	18959
15.313	77.7	15.7	178	0.0	-0.2672	19200
15.547	77.4	15.8	180	0.0	-0.2482	19569
15.781	77.2	15.9	180	0.0	-0.2941	19811
16.016	77.1	15.8	179	0.0	-0.2502	20056
16.250	77.3	15.7	180	0.0	-0.3092	20416
16.485	77.3	15.7	180	0.0	-0.2985	20656
16.719	77.5	15.6	179	0.0	-0.3041	20897
16.969	77.6	15.7	179	0.0	-0.3275	21263
17.203	76.7	15.7	179	0.0	-0.3078	21504
17.438	76.9	15.6	179	0.0	-0.3038	21857
17.672	77.3	15.6	178	0.0	-0.3213	22097
17.906	77.4	15.4	178	0.0	-0.3192	22342
18.141	76.7	15.4	180	0.0	-0.2993	22694
18.375	77.1	15.3	179	0.0	-0.2744	22929
18.610	78.7	15.4	180	0.0	-0.2456	23173
18.844	79.4	15.2	179	0.0	-0.1835	23538
19.063	78.0	15.2	178	0.0	-0.2309	23772
19.313	78.0	15.3	180	0.0	-0.1810	24019
19.563	78.6	15.3	179	0.0	-0.1858	24382
19.797	78.8	15.1	179	0.0	-0.1386	24623
20.031	77.0	15.0	180	0.0	-0.0665	24855
20.266	77.1	14.9	178	0.0	-0.1146	25218
20.500	77.0	15.1	180	0.0	-0.0550	25460
20.750	77.6	15.6	179	0.0	-0.1204	25830
20.985	77.2	15.7	179	0.0	-0.1052	26079
21.219	77.6	15.7	180	0.0	-0.1243	26330
21.453	76.9	15.7	179	0.0	-0.1426	26697
21.703	78.1	15.7	179	0.0	-0.1135	26947
21.953	77.6	15.8	179	0.0	-0.1590	27316
22.203	77.5	15.9	181	0.0	-0.1708	27564
6/23/2025 11:20:43 AM
0.000	49.4	24.3	212	0.0	-0.0031	300
0.235	81.1	19.8	181	0.0	-0.0857	543
0.453	81.9	16.3	180	0.0	-0.0807	819
0.703	77.1	15.9	180	0.0	-0.0760	1187
0.938	76.9	16.0	180	0.0	-0.1231	1435
1.188	77.2	16.0	180	0.0	-0.1821	1805
1.422	77.3	16.1	180	0.0	-0.2326	2054
1.657	77.5	16.2	180	0.0	-0.2179	2306
1.891	78.0	16.1	178	0.0	-0.2365	2677
2.125	77.0	15.9	181	0.0	-0.2393	2923
2.375	77.0	15.9	178	0.0	-0.2939	3285
2.610	76.3	15.9	180	0.0	-0.2886	3524
2.844	76.5	15.8	179	0.0	-0.2946	3767
3.063	76.1	15.8	178	0.0	-0.3434	4125
3.313	76.3	15.9	179	0.0	-0.3329	4362
3.563	76.4	15.9	179	0.0	-0.3539	4602
3.797	76.1	15.8	178	0.0	-0.3642	4960
4.032	76.7	15.6	179	0.0	-0.3613	5196
4.266	77.1	15.6	180	0.0	-0.3828	5554
4.516	75.8	15.6	179	0.0	-0.3604	5787
4.750	75.3	15.6	179	0.0	-0.3688	6019
5.000	76.3	15.6	179	0.0	-0.3867	6375
5.219	77.7	15.6	179	0.0	-0.3894	6615
5.453	77.7	15.6	178	0.0	-0.3786	6857
5.719	77.2	15.6	179	0.0	-0.4084	7212
5.969	77.4	15.6	179	0.0	-0.3680	7571
6.219	77.0	15.6	179	0.0	-0.3856	7807
6.453	76.3	15.7	181	0.0	-0.4075	8045
6.688	75.9	15.7	179	0.0	-0.4250	8396
6.922	75.9	15.7	180	0.0	-0.4162	8630
7.172	76.8	15.7	180	0.0	-0.4140	8987
7.407	77.1	15.6	178	0.0	-0.4239	9221
7.641	76.6	15.4	179	0.0	-0.4042	9456
7.875	76.4	15.4	179	0.0	-0.4074	9804
8.125	76.3	15.5	180	0.0	-0.3899	10035
8.391	76.0	15.6	180	0.0	-0.3879	10381
8.641	76.7	15.4	179	0.0	-0.3475	10607
